Input,Output
"[-0.2668549774579813, -5.620077533568498, -1.5403644337622275, -6.45062510116401, 1.4065006361476278]","[-0.3149267044613111, -5.6823021202673605, -1.5617538967729911, -6.484587456793343, 1.3931923227176335]"
"[-0.3149267044613111, -5.6823021202673605, -1.5617538967729911, -6.484587456793343, 1.3931923227176335]","[-0.3365494141845967, -5.617651674071779, -1.5109951643751018, -6.447619581024014, 1.4138718181133372]"
"[-0.3365494141845967, -5.617651674071779, -1.5109951643751018, -6.447619581024014, 1.4138718181133372]","[-0.3771879557783311, -5.588806607927196, -1.5115349272891017, -6.506423940813518, 1.3229322395061422]"
"[-0.3771879557783311, -5.588806607927196, -1.5115349272891017, -6.506423940813518, 1.3229322395061422]","[-0.4661599569870254, -5.567968831762945, -1.584593307480399, -6.462805173665157, 1.29558734590352]"
"[-0.4661599569870254, -5.567968831762945, -1.584593307480399, -6.462805173665157, 1.29558734590352]","[-0.5382800429504948, -5.549272670837893, -1.68314221190278, -6.475096877031288, 1.2867543942784179]"
"[-0.5382800429504948, -5.549272670837893, -1.68314221190278, -6.475096877031288, 1.2867543942784179]","[-0.45208290597792244, -5.4514422039190995, -1.7242170207983791, -6.568406617211099, 1.2636271577055262]"
"[-0.45208290597792244, -5.4514422039190995, -1.7242170207983791, -6.568406617211099, 1.2636271577055262]","[-0.39930433607086935, -5.443055228564066, -1.6470096215480359, -6.631806828884057, 1.3259247476947835]"
"[-0.39930433607086935, -5.443055228564066, -1.6470096215480359, -6.631806828884057, 1.3259247476947835]","[-0.3048658524051218, -5.507315419760452, -1.6182530996181452, -6.5899700437879805, 1.304993521645879]"
"[-0.3048658524051218, -5.507315419760452, -1.6182530996181452, -6.5899700437879805, 1.304993521645879]","[-0.3867475491600491, -5.585365157906832, -1.5191029921704533, -6.547756123866039, 1.3159427374610142]"
"[-0.3867475491600491, -5.585365157906832, -1.5191029921704533, -6.547756123866039, 1.3159427374610142]","[-0.46325422457636023, -5.563574465001999, -1.501835312783033, -6.478314036650949, 1.238674675461907]"
"[-0.46325422457636023, -5.563574465001999, -1.501835312783033, -6.478314036650949, 1.238674675461907]","[-0.49050705605959577, -5.593008532926566, -1.473747595467721, -6.572993132004255, 1.3170749690783294]"
"[-0.49050705605959577, -5.593008532926566, -1.473747595467721, -6.572993132004255, 1.3170749690783294]","[-0.494513504428683, -5.634462934777923, -1.3876253627832618, -6.645025632694374, 1.4002364801535214]"
"[-0.494513504428683, -5.634462934777923, -1.3876253627832618, -6.645025632694374, 1.4002364801535214]","[-0.4123085729688897, -5.628132539586033, -1.343765942833048, -6.60595813886789, 1.388678755668796]"
"[-0.4123085729688897, -5.628132539586033, -1.343765942833048, -6.60595813886789, 1.388678755668796]","[-0.41307910291719485, -5.59674624082085, -1.3845767832506644, -6.61028983946155, 1.4398598277551407]"
"[-0.41307910291719485, -5.59674624082085, -1.3845767832506644, -6.61028983946155, 1.4398598277551407]","[-0.3143735475734379, -5.688189508233101, -1.3287324312832147, -6.565875363912727, 1.4765996164163604]"
"[-0.3143735475734379, -5.688189508233101, -1.3287324312832147, -6.565875363912727, 1.4765996164163604]","[-0.26744082174961153, -5.704573462151698, -1.3751205960206394, -6.597705325795994, 1.519331217717466]"
"[-0.26744082174961153, -5.704573462151698, -1.3751205960206394, -6.597705325795994, 1.519331217717466]","[-0.1881345587337299, -5.7796819864394, -1.3473751433483057, -6.579180127131019, 1.6127173359861433]"
"[-0.1881345587337299, -5.7796819864394, -1.3473751433483057, -6.579180127131019, 1.6127173359861433]","[-0.23252254665961375, -5.85000937587663, -1.30248421883616, -6.557986564227881, 1.584900904937055]"
"[-0.23252254665961375, -5.85000937587663, -1.30248421883616, -6.557986564227881, 1.584900904937055]","[-0.2878305450744353, -5.883484113751559, -1.3301886811968464, -6.642901069832242, 1.645179683106861]"
"[-0.2878305450744353, -5.883484113751559, -1.3301886811968464, -6.642901069832242, 1.645179683106861]","[-0.19161511188194175, -5.836608824048837, -1.4014457788531118, -6.559593345391242, 1.5831322227846427]"
"[-0.19161511188194175, -5.836608824048837, -1.4014457788531118, -6.559593345391242, 1.5831322227846427]","[-0.16518466002166174, -5.826315257696165, -1.4801041084350466, -6.496787788063301, 1.581004161473338]"
"[-0.16518466002166174, -5.826315257696165, -1.4801041084350466, -6.496787788063301, 1.581004161473338]","[-0.15712708191128616, -5.917617273188588, -1.55101872151465, -6.461113397492649, 1.5632094160258498]"
"[-0.15712708191128616, -5.917617273188588, -1.55101872151465, -6.461113397492649, 1.5632094160258498]","[-0.06876800187047352, -5.886913734373331, -1.6473597185242856, -6.372462246022157, 1.5619335823749816]"
"[-0.06876800187047352, -5.886913734373331, -1.6473597185242856, -6.372462246022157, 1.5619335823749816]","[-0.06648764695930554, -5.981883944155747, -1.588067801255279, -6.419052394376791, 1.6388573879858512]"
"[-0.06648764695930554, -5.981883944155747, -1.588067801255279, -6.419052394376791, 1.6388573879858512]","[-0.051119965825717456, -6.026580460982147, -1.6269967604558657, -6.322673663227652, 1.6877824929238578]"
"[-0.051119965825717456, -6.026580460982147, -1.6269967604558657, -6.322673663227652, 1.6877824929238578]","[-0.009554153528517406, -6.024946502466895, -1.6097300446470997, -6.377150185012867, 1.696013900777052]"
"[-0.009554153528517406, -6.024946502466895, -1.6097300446470997, -6.377150185012867, 1.696013900777052]","[-0.10860142284528772, -6.0456370850880825, -1.627302954517454, -6.349476771690828, 1.7643037887053086]"
"[-0.10860142284528772, -6.0456370850880825, -1.627302954517454, -6.349476771690828, 1.7643037887053086]","[-0.180099170394817, -6.074786406861932, -1.6841330097825882, -6.351055909444299, 1.6957759934646688]"
"[-0.180099170394817, -6.074786406861932, -1.6841330097825882, -6.351055909444299, 1.6957759934646688]","[-0.1850809807170147, -6.012853752690637, -1.669519667830296, -6.4137841123203545, 1.7876408954258125]"
"[-0.1850809807170147, -6.012853752690637, -1.669519667830296, -6.4137841123203545, 1.7876408954258125]","[-0.15699368896390334, -5.944890969755925, -1.678110787152929, -6.339816284953386, 1.789388457511079]"
"[-0.15699368896390334, -5.944890969755925, -1.678110787152929, -6.339816284953386, 1.789388457511079]","[-0.1103484247987275, -5.95566134954908, -1.6628793944428242, -6.373607420913543, 1.8107282415200725]"
"[-0.1103484247987275, -5.95566134954908, -1.6628793944428242, -6.373607420913543, 1.8107282415200725]","[-0.20137564231854826, -6.0425432525916385, -1.7508520014512265, -6.405337835525803, 1.8650683879396732]"
"[-0.20137564231854826, -6.0425432525916385, -1.7508520014512265, -6.405337835525803, 1.8650683879396732]","[-0.2140913975455348, -6.119070327264496, -1.8075650077034915, -6.305642314782596, 1.7963441706671233]"
"[-0.2140913975455348, -6.119070327264496, -1.8075650077034915, -6.305642314782596, 1.7963441706671233]","[-0.3050340782130862, -6.145719293929673, -1.8243574812273964, -6.303334216941302, 1.8235125491098514]"
"[-0.3050340782130862, -6.145719293929673, -1.8243574812273964, -6.303334216941302, 1.8235125491098514]","[-0.3877294904281171, -6.230874686715042, -1.9162247597278588, -6.396096804211602, 1.909704073927689]"
"[-0.3877294904281171, -6.230874686715042, -1.9162247597278588, -6.396096804211602, 1.909704073927689]","[-0.4247271417290583, -6.1361902724064, -1.8520412710037575, -6.469587790921927, 1.9474983075367276]"
"[-0.4247271417290583, -6.1361902724064, -1.8520412710037575, -6.469587790921927, 1.9474983075367276]","[-0.445227595054983, -6.10259819460983, -1.863349443036335, -6.542146608733792, 1.8945596962202478]"
"[-0.445227595054983, -6.10259819460983, -1.863349443036335, -6.542146608733792, 1.8945596962202478]","[-0.47534133972982645, -6.132730791417655, -1.9004832886161405, -6.541758848373692, 1.9219593327764337]"
"[-0.47534133972982645, -6.132730791417655, -1.9004832886161405, -6.541758848373692, 1.9219593327764337]","[-0.4793692588774451, -6.114513242361901, -1.911020074778158, -6.564256872478061, 1.829147466068102]"
"[-0.4793692588774451, -6.114513242361901, -1.911020074778158, -6.564256872478061, 1.829147466068102]","[-0.3997605246026281, -6.088163762155991, -1.9955013682925413, -6.539196401771517, 1.8871879848877713]"
"[-0.3997605246026281, -6.088163762155991, -1.9955013682925413, -6.539196401771517, 1.8871879848877713]","[-0.4427917881687232, -6.174836255967087, -1.9294963786560888, -6.555199989251951, 1.8151465460318041]"
"[-0.4427917881687232, -6.174836255967087, -1.9294963786560888, -6.555199989251951, 1.8151465460318041]","[-0.5142780025004955, -6.153756351864247, -2.0080630204050425, -6.506482732484319, 1.79257235756907]"
"[-0.5142780025004955, -6.153756351864247, -2.0080630204050425, -6.506482732484319, 1.79257235756907]","[-0.4811366174620243, -6.132227819726677, -2.0351770327896244, -6.465749971644369, 1.7528680367694085]"
"[-0.4811366174620243, -6.132227819726677, -2.0351770327896244, -6.465749971644369, 1.7528680367694085]","[-0.5618038510453207, -6.033538992049102, -2.071879254808426, -6.511698574087288, 1.7642511061039354]"
"[-0.5618038510453207, -6.033538992049102, -2.071879254808426, -6.511698574087288, 1.7642511061039354]","[-0.5103471796509567, -5.97095698308749, -2.0970495625076353, -6.482415101470418, 1.7096159735191008]"
"[-0.5103471796509567, -5.97095698308749, -2.0970495625076353, -6.482415101470418, 1.7096159735191008]","[-0.4472176340755496, -5.969159369191802, -2.1725359735287157, -6.565848975843789, 1.7558760451187334]"
"[-0.4472176340755496, -5.969159369191802, -2.1725359735287157, -6.565848975843789, 1.7558760451187334]","[-0.40510129735753486, -5.907789800626268, -2.1850745116166714, -6.560954811955821, 1.831620213891404]"
"[-0.40510129735753486, -5.907789800626268, -2.1850745116166714, -6.560954811955821, 1.831620213891404]","[-0.5008659676483876, -5.8908890056921885, -2.1486426890699764, -6.637639352439664, 1.7863878650081937]"
"[-0.5008659676483876, -5.8908890056921885, -2.1486426890699764, -6.637639352439664, 1.7863878650081937]","[-0.4143954986658184, -5.955557926776433, -2.211681356107743, -6.541550750460143, 1.8008931017898449]"
"[-0.4143954986658184, -5.955557926776433, -2.211681356107743, -6.541550750460143, 1.8008931017898449]","[-0.5073454993109454, -5.902677441266434, -2.191584367669825, -6.629617587279597, 1.8366133954466415]"
"[-0.5073454993109454, -5.902677441266434, -2.191584367669825, -6.629617587279597, 1.8366133954466415]","[-0.42887859061655376, -5.964549110045541, -2.1193670298867224, -6.670222019729978, 1.7760159271769733]"
"[-0.42887859061655376, -5.964549110045541, -2.1193670298867224, -6.670222019729978, 1.7760159271769733]","[-0.46964698168416247, -5.868907078935928, -2.2095548895500117, -6.592382285085445, 1.828024833361085]"
"[-0.46964698168416247, -5.868907078935928, -2.2095548895500117, -6.592382285085445, 1.828024833361085]","[-0.4604435444187106, -5.89518979952984, -2.137890111644441, -6.6261722131721, 1.8215634061790278]"
"[-0.4604435444187106, -5.89518979952984, -2.137890111644441, -6.6261722131721, 1.8215634061790278]","[-0.5323067991480517, -5.974203959844359, -2.0570887056586176, -6.647793412512723, 1.882132919146904]"
"[-0.5323067991480517, -5.974203959844359, -2.0570887056586176, -6.647793412512723, 1.882132919146904]","[-0.4739185106922285, -5.940894731991686, -2.071641789011727, -6.699948961987008, 1.871329137198533]"
"[-0.4739185106922285, -5.940894731991686, -2.071641789011727, -6.699948961987008, 1.871329137198533]","[-0.5321514933225309, -5.93983930780343, -2.0893899594790657, -6.720141378944672, 1.9266970748057661]"
"[-0.5321514933225309, -5.93983930780343, -2.0893899594790657, -6.720141378944672, 1.9266970748057661]","[-0.605419698718157, -5.932129709847847, -2.1538523371896994, -6.728936849790823, 1.9121168835393278]"
"[-0.605419698718157, -5.932129709847847, -2.1538523371896994, -6.728936849790823, 1.9121168835393278]","[-0.6220375546889133, -5.898377759328006, -2.1971161194757016, -6.740986700574093, 1.9915680158160334]"
"[-0.6220375546889133, -5.898377759328006, -2.1971161194757016, -6.740986700574093, 1.9915680158160334]","[-0.5886982790527047, -5.887779544573153, -2.2247777724420503, -6.707852121785802, 2.020645047115903]"
"[-0.5886982790527047, -5.887779544573153, -2.2247777724420503, -6.707852121785802, 2.020645047115903]","[-0.5077423972542713, -5.965225269521067, -2.241958563903436, -6.789891731376571, 2.066842514311833]"
"[-0.5077423972542713, -5.965225269521067, -2.241958563903436, -6.789891731376571, 2.066842514311833]","[-0.5958273812033412, -5.940325009918192, -2.2246809297453716, -6.887341766039107, 2.058370942904311]"
"[-0.5958273812033412, -5.940325009918192, -2.2246809297453716, -6.887341766039107, 2.058370942904311]","[-0.690264692977899, -5.991293007457431, -2.216124385057952, -6.907471336963347, 1.9689912164558547]"
"[-0.690264692977899, -5.991293007457431, -2.216124385057952, -6.907471336963347, 1.9689912164558547]","[-0.5967568887276157, -6.029601675959632, -2.127606198217518, -6.926141960174175, 2.05650278044674]"
"[-0.5967568887276157, -6.029601675959632, -2.127606198217518, -6.926141960174175, 2.05650278044674]","[-0.5453968277981747, -6.058292942674148, -2.0725379345963173, -7.018464433405671, 2.116310232039218]"
"[-0.5453968277981747, -6.058292942674148, -2.0725379345963173, -7.018464433405671, 2.116310232039218]","[-0.5987436155079355, -5.976639470542111, -2.1430352609835905, -7.026068913715508, 2.097061787680926]"
"[-0.5987436155079355, -5.976639470542111, -2.1430352609835905, -7.026068913715508, 2.097061787680926]","[-0.6294284684746605, -6.003804536605603, -2.149385633428312, -7.102420607553691, 2.007956416580081]"
"[-0.6294284684746605, -6.003804536605603, -2.149385633428312, -7.102420607553691, 2.007956416580081]","[-0.7287861319464368, -6.0958949222498635, -2.052313711269711, -7.025233441449354, 2.0192905881534196]"
"[-0.7287861319464368, -6.0958949222498635, -2.052313711269711, -7.025233441449354, 2.0192905881534196]","[-0.6679825625500748, -6.183863644235243, -1.994567174517544, -7.105457028361758, 2.1006486727581333]"
"[-0.6679825625500748, -6.183863644235243, -1.994567174517544, -7.105457028361758, 2.1006486727581333]","[-0.5914833969443668, -6.095985162802042, -2.0349388739196654, -7.136343727388373, 2.0846229803382195]"
"[-0.5914833969443668, -6.095985162802042, -2.0349388739196654, -7.136343727388373, 2.0846229803382195]","[-0.6338451565274696, -6.0984295960363495, -2.0562890972684498, -7.1039146893317815, 2.139596270707684]"
"[-0.6338451565274696, -6.0984295960363495, -2.0562890972684498, -7.1039146893317815, 2.139596270707684]","[-0.5867851514721378, -6.158821847617079, -2.0585702635635066, -7.075682413621337, 2.2025257906602107]"
"[-0.5867851514721378, -6.158821847617079, -2.0585702635635066, -7.075682413621337, 2.2025257906602107]","[-0.49984375146924775, -6.081375124691269, -2.157608789892118, -7.0621992594944984, 2.2641816880447676]"
"[-0.49984375146924775, -6.081375124691269, -2.157608789892118, -7.0621992594944984, 2.2641816880447676]","[-0.5023788801347737, -5.986209730450239, -2.2321028274047765, -6.991070423540875, 2.2968826188427958]"
"[-0.5023788801347737, -5.986209730450239, -2.2321028274047765, -6.991070423540875, 2.2968826188427958]","[-0.4523013861973102, -5.973607813780834, -2.286816747091713, -7.015347469990987, 2.34599015662266]"
"[-0.4523013861973102, -5.973607813780834, -2.286816747091713, -7.015347469990987, 2.34599015662266]","[-0.5421870188598962, -5.999474342580343, -2.3644194876093376, -6.928032289957432, 2.3639136364681868]"
"[-0.5421870188598962, -5.999474342580343, -2.3644194876093376, -6.928032289957432, 2.3639136364681868]","[-0.4583749940509154, -6.091870019587984, -2.387186278033915, -6.952555652651424, 2.3631149093343944]"
"[-0.4583749940509154, -6.091870019587984, -2.387186278033915, -6.952555652651424, 2.3631149093343944]","[-0.546993965912216, -6.105020558673335, -2.353130494805266, -6.93678648609193, 2.264334404878823]"
"[-0.546993965912216, -6.105020558673335, -2.353130494805266, -6.93678648609193, 2.264334404878823]","[-0.6066410261737886, -6.1681737147786855, -2.296747194226441, -6.874990840371116, 2.2354849099730165]"
"[-0.6066410261737886, -6.1681737147786855, -2.296747194226441, -6.874990840371116, 2.2354849099730165]","[-0.655510175103464, -6.244914705338216, -2.3077493694257414, -6.861339036453034, 2.260850804522622]"
"[-0.655510175103464, -6.244914705338216, -2.3077493694257414, -6.861339036453034, 2.260850804522622]","[-0.6893285513889635, -6.220482375848869, -2.230310630306888, -6.931198096012498, 2.197825832357684]"
"[-0.6893285513889635, -6.220482375848869, -2.230310630306888, -6.931198096012498, 2.197825832357684]","[-0.748770919548719, -6.171854090024468, -2.1954829961079096, -6.847019406325557, 2.143568000113789]"
"[-0.748770919548719, -6.171854090024468, -2.1954829961079096, -6.847019406325557, 2.143568000113789]","[-0.8438076770544379, -6.223329305212471, -2.156291131902591, -6.909715088312046, 2.0958741158439063]"
"[-0.8438076770544379, -6.223329305212471, -2.156291131902591, -6.909715088312046, 2.0958741158439063]","[-0.897808718402211, -6.252169050212155, -2.207480977857557, -6.854349212413154, 2.042603488120883]"
"[-0.897808718402211, -6.252169050212155, -2.207480977857557, -6.854349212413154, 2.042603488120883]","[-0.9284015068361698, -6.274042778343101, -2.141111702328801, -6.807197385618486, 2.006305151677234]"
"[-0.9284015068361698, -6.274042778343101, -2.141111702328801, -6.807197385618486, 2.006305151677234]","[-1.0167297343979202, -6.22492295719638, -2.239060121879652, -6.8615794395919085, 2.016999610194337]"
"[-1.0167297343979202, -6.22492295719638, -2.239060121879652, -6.8615794395919085, 2.016999610194337]","[-1.0410677638807122, -6.225660959833953, -2.2091123619739648, -6.787775924063958, 2.0026340183749998]"
"[-1.0410677638807122, -6.225660959833953, -2.2091123619739648, -6.787775924063958, 2.0026340183749998]","[-1.1239999883293619, -6.22614624527246, -2.2030101741387202, -6.719887705127054, 2.062954628853674]"
"[-1.1239999883293619, -6.22614624527246, -2.2030101741387202, -6.719887705127054, 2.062954628853674]","[-1.1975544359922294, -6.2919900673488875, -2.1867604803137066, -6.6457818628527985, 2.1419624102290213]"
"[-1.1975544359922294, -6.2919900673488875, -2.1867604803137066, -6.6457818628527985, 2.1419624102290213]","[-1.265453680378409, -6.228455641744105, -2.17167429186858, -6.586612709215728, 2.230442841214892]"
"[-1.265453680378409, -6.228455641744105, -2.17167429186858, -6.586612709215728, 2.230442841214892]","[-1.3432947985784651, -6.186687668273631, -2.1930604597859045, -6.5600949878791, 2.327828644466327]"
"[-1.3432947985784651, -6.186687668273631, -2.1930604597859045, -6.5600949878791, 2.327828644466327]","[-1.4316482408043179, -6.189879130029727, -2.1643465862314524, -6.619449974599879, 2.303954995587512]"
"[-1.4316482408043179, -6.189879130029727, -2.1643465862314524, -6.619449974599879, 2.303954995587512]","[-1.352192749547675, -6.230333888520177, -2.112431764712062, -6.640388252040443, 2.3941044684647057]"
"[-1.352192749547675, -6.230333888520177, -2.112431764712062, -6.640388252040443, 2.3941044684647057]","[-1.2824616007528766, -6.327498578426427, -2.0491286448234, -6.584422096388386, 2.3951949860027844]"
"[-1.2824616007528766, -6.327498578426427, -2.0491286448234, -6.584422096388386, 2.3951949860027844]","[-1.2073357432033915, -6.302174608458027, -2.1076450805491866, -6.628058915122537, 2.296460804482454]"
"[-1.2073357432033915, -6.302174608458027, -2.1076450805491866, -6.628058915122537, 2.296460804482454]","[-1.2400203711918516, -6.22072095028952, -2.088401347727864, -6.635542754537175, 2.2204638941304182]"
"[-1.2400203711918516, -6.22072095028952, -2.088401347727864, -6.635542754537175, 2.2204638941304182]","[-1.160407003039544, -6.288442551477526, -2.0675667693510182, -6.572461262248766, 2.162128151962243]"
"[-1.160407003039544, -6.288442551477526, -2.0675667693510182, -6.572461262248766, 2.162128151962243]","[-1.123407705180738, -6.33340494950656, -1.9697112062483293, -6.479787970133945, 2.2162829429055955]"
"[-1.123407705180738, -6.33340494950656, -1.9697112062483293, -6.479787970133945, 2.2162829429055955]","[-1.1927740661169866, -6.296135333356851, -2.0265359825168616, -6.40997707038909, 2.260560399679665]"
"[-1.1927740661169866, -6.296135333356851, -2.0265359825168616, -6.40997707038909, 2.260560399679665]","[-1.1771064454351112, -6.324409282557264, -1.9972880618631816, -6.485815177976436, 2.208262638197507]"
"[-1.1771064454351112, -6.324409282557264, -1.9972880618631816, -6.485815177976436, 2.208262638197507]","[-1.1664460098287979, -6.3117090255399315, -2.070627856185834, -6.583815177241868, 2.1507177119941514]"
"[-1.1664460098287979, -6.3117090255399315, -2.070627856185834, -6.583815177241868, 2.1507177119941514]","[-1.199359446027998, -6.327998647936386, -2.074804080841632, -6.645695064012842, 2.1160781217409528]"
"[-1.199359446027998, -6.327998647936386, -2.074804080841632, -6.645695064012842, 2.1160781217409528]","[-1.2729061021414745, -6.2844639932728485, -2.080006376955267, -6.564597947752845, 2.2096916877920387]"
"[-1.2729061021414745, -6.2844639932728485, -2.080006376955267, -6.564597947752845, 2.2096916877920387]","[-1.2692755127544428, -6.30078581949437, -2.1266866036034924, -6.50873929862554, 2.2892251266225614]"
"[-1.2692755127544428, -6.30078581949437, -2.1266866036034924, -6.50873929862554, 2.2892251266225614]","[-1.271343082643328, -6.342328905162517, -2.055109326259188, -6.48201598360091, 2.3051805724842795]"
"[-1.271343082643328, -6.342328905162517, -2.055109326259188, -6.48201598360091, 2.3051805724842795]","[-1.3295210354519744, -6.388258622046801, -2.116270967997377, -6.44336565013627, 2.2914496133366247]"
"[-1.3295210354519744, -6.388258622046801, -2.116270967997377, -6.44336565013627, 2.2914496133366247]","[-1.3083131775995034, -6.384952180941177, -2.2046605995447086, -6.50491357259964, 2.381407247968668]"
"[-1.3083131775995034, -6.384952180941177, -2.2046605995447086, -6.50491357259964, 2.381407247968668]","[-1.3663588894009, -6.393137259283217, -2.157434953691322, -6.427238185016002, 2.368282420051684]"
"[-1.3663588894009, -6.393137259283217, -2.157434953691322, -6.427238185016002, 2.368282420051684]","[-1.2800531938154032, -6.348681413845573, -2.192785715804834, -6.363413626904732, 2.3113392289717094]"
"[-1.2800531938154032, -6.348681413845573, -2.192785715804834, -6.363413626904732, 2.3113392289717094]","[-1.3586030718814444, -6.371900629804249, -2.179998101237185, -6.3185816435626885, 2.2922649836462616]"
"[-1.3586030718814444, -6.371900629804249, -2.179998101237185, -6.3185816435626885, 2.2922649836462616]","[-1.3635281186065964, -6.328340436902982, -2.1578488994303933, -6.408392427264302, 2.1922803623179083]"
"[-1.3635281186065964, -6.328340436902982, -2.1578488994303933, -6.408392427264302, 2.1922803623179083]","[-1.3107174524575642, -6.261668187108587, -2.1665852736172244, -6.439862621507251, 2.2324465465692738]"
"[-1.3107174524575642, -6.261668187108587, -2.1665852736172244, -6.439862621507251, 2.2324465465692738]","[-1.2226676970903063, -6.24615500306142, -2.157774941626827, -6.483069564307677, 2.249607660748405]"
"[-1.2226676970903063, -6.24615500306142, -2.157774941626827, -6.483069564307677, 2.249607660748405]","[-1.22440118542901, -6.179375982677338, -2.164819941034499, -6.4174540366391915, 2.263110916246134]"
"[-1.22440118542901, -6.179375982677338, -2.164819941034499, -6.4174540366391915, 2.263110916246134]","[-1.2787650308749956, -6.095957217807238, -2.204895731420129, -6.321724571912892, 2.2717189246619784]"
"[-1.2787650308749956, -6.095957217807238, -2.204895731420129, -6.321724571912892, 2.2717189246619784]","[-1.2508555083943733, -6.1700216406061505, -2.11261827017413, -6.344039301027186, 2.350612758509952]"
"[-1.2508555083943733, -6.1700216406061505, -2.11261827017413, -6.344039301027186, 2.350612758509952]","[-1.3050663032711323, -6.213502326770747, -2.125680810275561, -6.360380659944039, 2.2604718561168826]"
"[-1.3050663032711323, -6.213502326770747, -2.125680810275561, -6.360380659944039, 2.2604718561168826]","[-1.3320680322000689, -6.256409185805823, -2.1135855521791886, -6.335020674758576, 2.2006680260673206]"
"[-1.3320680322000689, -6.256409185805823, -2.1135855521791886, -6.335020674758576, 2.2006680260673206]","[-1.3705630784746319, -6.203540489446249, -2.088301401844838, -6.3781173790521635, 2.207310117097075]"
"[-1.3705630784746319, -6.203540489446249, -2.088301401844838, -6.3781173790521635, 2.207310117097075]","[-1.3447931642825952, -6.157163777030636, -2.1670625349768, -6.327471917146928, 2.142903646569351]"
"[-1.3447931642825952, -6.157163777030636, -2.1670625349768, -6.327471917146928, 2.142903646569351]","[-1.3307138714405622, -6.190431907580894, -2.2247633581637825, -6.338225889906633, 2.1992195655958664]"
"[-1.3307138714405622, -6.190431907580894, -2.2247633581637825, -6.338225889906633, 2.1992195655958664]","[-1.2507720088300451, -6.203848996618685, -2.1730863350627088, -6.392017516469892, 2.164067005465405]"
"[-1.2507720088300451, -6.203848996618685, -2.1730863350627088, -6.392017516469892, 2.164067005465405]","[-1.240654639991405, -6.226801713658987, -2.0817469133279625, -6.31275593007243, 2.1619499166453213]"
"[-1.240654639991405, -6.226801713658987, -2.0817469133279625, -6.31275593007243, 2.1619499166453213]","[-1.1702140243090764, -6.129287735500666, -2.179961894179446, -6.305979800261492, 2.24065774250165]"
"[-1.1702140243090764, -6.129287735500666, -2.179961894179446, -6.305979800261492, 2.24065774250165]","[-1.2357713019442083, -6.044493499354061, -2.1254396086548573, -6.217375567009839, 2.1724769418411793]"
"[-1.2357713019442083, -6.044493499354061, -2.1254396086548573, -6.217375567009839, 2.1724769418411793]","[-1.2457436590144713, -6.053420760403284, -2.0369742092988083, -6.157085005877843, 2.188905804805163]"
"[-1.2457436590144713, -6.053420760403284, -2.0369742092988083, -6.157085005877843, 2.188905804805163]","[-1.171925000167457, -6.064536952029559, -2.079633458299734, -6.194217823390151, 2.2803585348039874]"
"[-1.171925000167457, -6.064536952029559, -2.079633458299734, -6.194217823390151, 2.2803585348039874]","[-1.093297147523874, -5.97938658588394, -2.179562336807378, -6.202381299458832, 2.2542185686400424]"
"[-1.093297147523874, -5.97938658588394, -2.179562336807378, -6.202381299458832, 2.2542185686400424]","[-1.0522881780503772, -6.037279068107825, -2.1100204370257565, -6.13554150953386, 2.3457465523275656]"
"[-1.0522881780503772, -6.037279068107825, -2.1100204370257565, -6.13554150953386, 2.3457465523275656]","[-1.0763080267516236, -6.0498334132217595, -2.1519462828851648, -6.150362301440182, 2.3284805930429338]"
"[-1.0763080267516236, -6.0498334132217595, -2.1519462828851648, -6.150362301440182, 2.3284805930429338]","[-1.1422479706064752, -6.061210025000743, -2.181136711427849, -6.16333251902879, 2.4160492017561754]"
"[-1.1422479706064752, -6.061210025000743, -2.181136711427849, -6.16333251902879, 2.4160492017561754]","[-1.2018588017245153, -6.115649771402376, -2.1057018541605808, -6.183360485500025, 2.4364608970886152]"
"[-1.2018588017245153, -6.115649771402376, -2.1057018541605808, -6.183360485500025, 2.4364608970886152]","[-1.1391087683658556, -6.1550693291419565, -2.1943450066778194, -6.093780256026624, 2.5228214452894955]"
"[-1.1391087683658556, -6.1550693291419565, -2.1943450066778194, -6.093780256026624, 2.5228214452894955]","[-1.090666832836975, -6.232802266302335, -2.1684293256236504, -6.065047478891415, 2.5014820220550096]"
"[-1.090666832836975, -6.232802266302335, -2.1684293256236504, -6.065047478891415, 2.5014820220550096]","[-1.0303025390887124, -6.25907172562196, -2.259846507279456, -6.090596658146222, 2.5820514676199946]"
"[-1.0303025390887124, -6.25907172562196, -2.259846507279456, -6.090596658146222, 2.5820514676199946]","[-1.0949786343781789, -6.343218441570066, -2.199543455996707, -6.1831701453756835, 2.4853021780087325]"
"[-1.0949786343781789, -6.343218441570066, -2.199543455996707, -6.1831701453756835, 2.4853021780087325]","[-1.1150660471771947, -6.330543401271511, -2.1516112228574933, -6.13331553089691, 2.567514789488275]"
"[-1.1150660471771947, -6.330543401271511, -2.1516112228574933, -6.13331553089691, 2.567514789488275]","[-1.1552831619676827, -6.281830590705345, -2.0871573970483337, -6.097268820943343, 2.5894148527475536]"
"[-1.1552831619676827, -6.281830590705345, -2.0871573970483337, -6.097268820943343, 2.5894148527475536]","[-1.148860830896755, -6.340621367307342, -2.124039085500077, -6.0979084905612355, 2.6491083247101708]"
"[-1.148860830896755, -6.340621367307342, -2.124039085500077, -6.0979084905612355, 2.6491083247101708]","[-1.1892187266209437, -6.3940909528835865, -2.204653386598801, -6.142929097644138, 2.552094414694108]"
